Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Florez, Elizabeth; Mondragón, Fanor; Truong, Thanh N; Fuentealba, Patricio; ",Density functional theory characterization of the formation of copper clusters on F s and centers on a MgO surface,Surface science,601,3,656-664,2007,Elsevier
"Mondragon, Fanor; Ouchi, Koji; ",Coal liquefaction by in-situ hydrogen generation.: 2. Zinc-water model compound reactions,Fuel,63,7,973-977,1984,Elsevier
"Mondragón, Fanor; Ruı́z, Wilson; Santamarı́a, Alexander; ",Effect of early stages of coal oxidation on its reaction with elemental sulphur,Fuel,81,3,381-388,2002,Elsevier
"Jiménez, Francisco; Mondragón, Fanor; López, Diana; ",Structural changes in coal chars after pressurized pyrolysis,Journal of Analytical and Applied Pyrolysis,95,,164-170,2012,Elsevier
"Gallego, Jaime; Batiot-Dupeyrat, Catherine; Barrault, Joël; Mondragón, Fanor; ",Severe deactivation of a LaNiO3 perovskite-type catalyst precursor with H2S during methane dry reforming,Energy & Fuels,23,10,4883-4886,2009,ACS Publications
"Mondragon, F; Quintero, G; Jaramillo, A; Fernandez, J; Calo, JM; Ruiz, W; Hall, PJ; ",The production of high surface carbons from coal using pre-swelling in solvents to disperse coking catalysts,Journal of materials science,32,6,1455-1459,1997,Springer
"Santamaría, Alexander; Eddings, Eric G; Mondragón, Fanor; ",Effect of ethanol on the chemical structure of the soot extractable material of an ethylene inverse diffusion flame,Combustion and Flame,151,1,235-244,2007,Elsevier
"Orrego, Juan F; Truong, Thanh N; Mondragón, Fanor; ",A linear energy relationship between activation energy and absolute hardness: a case study with the O (3P) atom-addition reactions to polyaromatic hydrocarbons,The Journal of Physical Chemistry A,112,36,8205-8207,2008,ACS Publications
"Salamanca, Maurin; Velásquez, Mauricio; Mondragón, Fanor; Santamaría, Alexander; ",Variations of the soot precursors chemical composition induced by ethanol addition to fuel,Energy & Fuels,26,11,6602-6611,2012,ACS Publications
"Gallego, Jaime; Mondragon, Fanor; Batiot-Dupeyrat, Catherine; ",Simultaneous production of hydrogen and carbon nanostructured materials from ethanol over LaNiO 3 and LaFeO 3 perovskites as catalyst precursors,Applied Catalysis A: General,450,,73-79,2013,Elsevier
"Florez, Elizabeth; Mondragon, Fanor; Illas, Francesc; ","Theoretical study of the structure and reactivity descriptors of Cu n M (M Ni, Pd, Pt; n= 1–4) bimetallic nanoparticles supported on MgO (001)",Surface Science,606,13,1010-1018,2012,Elsevier
"Mondragon, Fanor; Itoh, Hironori; Ouchi, Koji; ",Coal liquefaction by in-situ hydrogen generation.: 1. Zinc-water-coal reaction,Fuel,63,7,968-972,1984,Elsevier
"Osorio, Edison; Vasquez, Alejandro; Florez, Elizabeth; Mondragon, Fanor; Donald, Kelling J; Tiznado, William; ",Theoretical design of stable small aluminium–magnesium binary clusters,Physical Chemistry Chemical Physics,15,6,2222-2229,2013,Royal Society of Chemistry
"Mejía, Sol M; Espinal, Juan F; Mondragón, Fanor; ","ESTUDIO DELAZEOTROPO ETANOLAGUA. CARACTERIZACIÓN MOLECULAR DE DÍMEROS DE ETANOL, HETERODÍMEROSYHETEROTRÍMEROS DE ETANOLAGUA",Energética,,36,5-18,2006,
"Sierra Gallego, Germán; Batiot-Dupeyrat, Catherine; Barrault, Joël; Mondragón, Fanor; ",Producción de hidrógeno y nanotubos de carbono por escomposición de metano sobre Ni°/La2O3 obtenido a partir de la perovskita LaNiO3-δ,Revista Facultad de Ingeniería Universidad de Antioquia,,44,07-19,2008,
"Florez, Elizabeth; Mondragón, Fanor; Fuentealba, Patricio; Illas, Francesc; ",Effect of surface site on the spin state of first-row transition metals adsorbed on MgO: Embedded cluster model and hybrid density functional theory calculations,Physical Review B,78,7,075426,2008,APS
"Gallego, Jaime; Batiot-Dupeyat, Catherine; Mondragón, Fanor; ",Activation energies and structural changes in carbon nanotubes during different acid treatments,Journal of thermal analysis and calorimetry,114,2,597-602,2013,Springer
"Mondragon, Fanor; Quintero, Gustavo; Jaramillo, Alfredo; Fernandez, John; Hall, Peter J; ",The catalytic liquefaction of coal in the presence of Ethanol,Fuel processing technology,53,3,171-181,1998,Elsevier
"Mondragon, Fanor; Makabe, Masataka; Itoh, Hironori; Ouchi, Koji; ",Solubilities of Taiheiyo (Japan) coal in a series of alcohols,Fuel,60,10,996-997,1981,Elsevier
"González, Juan D; Mondragón, Fanor; Espinal, Juan F; ",Effect of calcium on gasification of carbonaceous materials with CO 2: a DFT study,Fuel,114,,199-205,2013,Elsevier
"Hall, Peter J; Mackinnon, Alexander J; Mondragon, Fanor; ",Role of glass transitions in determining enthalpies of air oxidation in North Dakota lignite,Energy & fuels,8,4,1002-1003,1994,ACS Publications
"Montoya, Alejandro; Mondragón, Fanor; Truong, Thanh N; ",CO2 adsorption on carbonaceous surfaces: a combined molecular modeling and experimental study,"Prepr1 Symp12A m1 Chem1 Soc1, Div1 Fuel Chem1",46,1,217-219,2001,
"Mejía, Sol M; Orrego, Juan F; Espinal, Juan F; Mondragón, Fanor; ",(Ethanol) 4-water heteropentamers: a structural and thermodynamic study,Química Nova,33,4,860-866,2010,SciELO Brasil
"Iwata, Kazuyuki; Mondragon, Fanor; Itoh, Hironori; Ouchi, Koji; ",Average structure of coal: Structural analysis of pyridine extract of zinc-water-coal reaction product,Fuel,63,11,1528-1532,1984,Elsevier
"Silva, Wilber; Truong, Thanh N; Mondragon, Fanor; ",Electronic characterization and reactivity of bimetallic clusters of the Ti (Mg) n type for hydrogen storage applications,Journal of Alloys and Compounds,509,34,8501-8509,2011,Elsevier
"Gallego, Jaime; Barrault, Joël; Batiot-Dupeyrat, Catherine; Mondragon, Fanor; ",Intershell spacing changes in MWCNT induced by metal–CNT interactions,Micron,44,,463-467,2013,Elsevier
"Salamanca, Maurin; Agudelo, John R; Mondragón, Fanor; Santamaría, Alexander; ",Chemical characteristics of the soot produced in a high-speed direct injection engine operated with diesel/biodiesel blends,Combustion Science and Technology,184,7-8,1179-1190,2012,Taylor & Francis
"Montoya, Alejandro; Truong, Thai-T; Mondragón, Fanor; Truong, Thanh N; ",CO desorption from carbonyl surfaces species in the gasification of coal,"Prepr1 Symp12A m1 Chem1 Soc1, Div1 Fuel Chem1",46,1,215-216,2001,
"Yoshida, R; Ishiguro, H; Nagaishi, H; Honma, S; Narita, H; Yoshida, T; Maekawa, Y; Mitarai, Y; Mondragon, F; ",Colombian coal liquefaction and its coprocessing with Venezuelan crude oil,Energy conversion and management,40,13,1357-1364,1999,Elsevier
"Sierra Gallego, Germán; Batiot-Dupeyrat, Catherine; Mondragón, Fanor; ",Methane partial oxidation by the lattice oxygen of the LaNiO3-d perovskite. A pulse study,Dyna,77,163,141-150,2010,"2006, Revista DYNA"
"Gallego, Jaime; Sierra, Germán; Daza, Carlos; Molina, Rafael; Batiot-Dupeyrat, Catherine; Barrault, Joël; Mondragon, Fanor; ",Reformado de metano en seco utilizando perovskitas La1-XAXNiO3 y LaNi1-XBXO3 (A: Ce ó Pr y B: Co ó Mg) como precursores del catalizador,Revista Facultad de Ingeniería,,52,9-18,2013,
"Mejía, Sol M; Orrego, Juan F; Espinal, Juan F; Fuentealba, Patricio; Mondragón, Fanor; ",Exploration of the (ethanol) 4–water heteropentamers potential energy surface by simulated annealing and ab initio molecular dynamics,International Journal of Quantum Chemistry,111,12,3080-3096,2011,Wiley Online Library
"Sanchez, Astrid; Mondragon, Fanor; Eddings, Eric G; ",Fuel-nitrogen evolution during fluidized bed oxy-coal combustion,Proceedings of the 20th International Conference on Fluidized Bed Combustion,,,1136-1140,2009,Springer
"Mondragon, Fanor; Quintero, Gustavo; Acosta, Rodrigo; Jaramillo, Alfredo; ",Liquefaction characteristics of some Colombian coals: 1. Reactivity in catalytic hydrogenation,Fuel,67,12,1709-1711,1988,Elsevier
"García, Verónica; Caldes, Maria Teresa; Joubert, Olivier; Gautron, Eric; Mondragón, Fanor; Moreno, Andrés; ",Methane oxidation by lattice oxygen of Ni/BaTi 1− x In x O 3− δ catalysts,Catalysis Today,157,1,177-182,2010,Elsevier
"Espinal, JF; Truong, TN; Mondragon, F; ",DFT study of carbon-H2O reactions during gasification with steam.,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,228,,U677-U677,2004,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"Mejía, Sol M; Espinal, Juan F; Mondragón, Fanor; ",EFECTOS COOPERATIVOS EN HETEROTETRÁMEROS (ETANOL) 3-AGUA,Revista Colombiana de Química,38,1,151,2009,Universidad Nacional de Colombia
"Sierra Gallego, Germán; Batiot-Dupeyrat, Catherine; Barrault, Joël; Mondragón, Fanor; ",Hydrogen and carbon nanotubes production by methane decomposition over Ni°/La2O3 obtainedfrom LaNiO3-δ erovskite,Revista Facultad de Ingeniería Universidad de Antioquia,,44,07-19,2008,Universidad de Antioquia
"Daza, Carlos Enrique; Mondragón, Fanor; Moreno, Sonia; Molina, Rafael; ",CO2 reforming of methane over Ni-Mg-Al-Ce mixed oxides derived from hydrotalcites: Mg/Ni ratio effect,Revista Facultad de Ingeniería Universidad de Antioquia,,57,66-74,2011,Universidad de Antioquia
"Mejía, Sol M; Orrego, Juan F; Espinal, Juan F; Mondragón, Fanor; ",Heteropentámeros (etanol) 4-agua: estudio estructural y termodinámico,Quim. Nova,33,4,860-866,2010,
"Cabrera, Edna R; Franco, Juan F; Mondragón, Fanor; Fernández, Jhon J; ",Conversión de fondos de vacío de petróleo a semicoque,Energética,,37,,2007,
"López, Wilber Silva; Mondragón, Fanor; ",Almacenamiento De H2 En Complejos Metálicos,Energética,,38,,2007,
"López, Wilber Silva; Mondragón, Fanor; ",ALMACENAMIENTO DE H,,,,,1990,
"Gallego, Jaime; Sierra Gallego, Germán; Daza, Carlos; Molina, Rafael; Barrault, Joel; Batiot-Dupeyat, Catherine; Mondragón, Fanor; ",Production of carbon nanotubes and hydrogen by catalytic ethanol decomposition,Dyna,80,178,78-85,2013,"2006, Revista DYNA"
"Eddings, Eric G; Sanchez, Astrid; Wang, Liyong; Mondragon, Fanor; ",Pollutant formation during oxy-coal combustion,,,,,2008,"University of Utah, Department of Chemical Engineering"
"Orrego, Juan F; Fernández, Jhon J; Mondragón, Fanor; ",El método Monte Carlo como herramienta para evaluar porosidad en carbones activados,"Revistas de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",28,108,,2004,
"Espinal, Juan F; Mondragón, Fanor; Truong, Thanh N; ",Density functional theory study of carbon-H2O reactions during gasification with steam,"Prepr. Pap.-Am. Chem. Soc., Div. Fuel Chem",49,2,822,2004,Citeseer
"Acelas, Nancy Y; López, Diana; Mondragón, Fanor; Tiznado, William; Flórez, Elizabeth; ",Topological analysis of tetraphosphorus oxides (P4O6+ n (n= 0–4)),Journal of molecular modeling,19,5,2057-2067,2013,Springer
"Gil, Martín E; Ruiz, Wilson A; Mondragón, Fanor; ",Cambios estructurales durante la pirólisis y la gasificación del carbón de Venecia con CO2 a alta presión,Energética,,38,,2007,
"Enrique Daza, Carlos; Gamba, Oscar A; Hernandez, Yesid; Centeno, Miguel A; Mondragon, Fanor; Moreno, Sonia; Molina, Rafael; ",High-Stable Mesoporous Ni-Ce/Clay Catalysts for Syngas Production,Catalysis letters,141,7,1037-1046,2011,Springer
"岩田一幸; MONDRAGON, Fanor; 伊藤博徳; 大内公耳; ",水-金属系反応による石炭の可溶化物の構造解析,燃料協会誌,62,12,957-965,1983,THE JAPAN INSTITUTE OF ENERGY
"Santamaria, Alexander; Mondragon, Fanor; Eddings, Eric G; Sarofim, Adel F; ",Ethanol effect in soot formation in an ethylene inverse diffusion flame,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,231,,,2006,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"Santamaria, Alexander; Mondragon, Fanor; Eddings, Eric G; ",Chemical and morphological characterization of the soot produced in aromatic and aliphatic flames,"236th National Meeting and Exposition of the American Chemical Society, ACS 2008",,,,2008,
"Mondragón, Fanor; ",Seminario Doctoral III Uso de precursores tipo hidrotalcita para la preparación de catalizadores Fischer-Tropsch,,,,,,
"Truong, TN; Montoya, A; Mondragon, F; ",Computational strategy for studying chemical processes on carbonaceous surfaces.,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,222,,U461-U461,2001,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"Forgionny, Angélica; Fierro, JLG; Mondragón, Fanor; Moreno, Andrés; ",Effect of Mg/Al Ratio on Catalytic Behavior of Fischer–Tropsch Cobalt-Based Catalysts Obtained from Hydrotalcites Precursors,Topics in Catalysis,59,2-4,230-240,2016,Springer
"Monje, Ivonne E; Sánchez, Astrid E; Mondragón, Fanor; ",GLICEROLATOS DE METALES ALCALINOS Y SUS POSIBLES APLICACIONES PARA EL ALMACENAMIENTO DE HIDRÓGENO,Energética,,38,,2007,Universidad Nacional de Colombia
"SANTAMARÍA, ALEXANDER; MONDRAGÓN, FANOR; FERNÁNDEZ, JHON; RUÍZ, WILSON; LÓPEZ, DIANA; ",DETERMINACIÓN DE ENERGÍAS DE DESORCIÓN DE SO2 EN MATERIALES CARBONOSOS DURANTE PROCESOS NO ISOTÉRMICOS DETERMINATION OF SO2 DESORPTION ENERGIES ON CARBONACEOUS MATERIALS DURING NONISOTHERMAL,Dyna,78,165,169-175,2011,
"Daza, Carlos Enrique; Mondragón, Fanor; Moreno, Sonia; Molina, Rafael; ",Reformado de metano con CO2 sobre óxidos mixtos Ni-Mg-Al-Ce derivados de hidrotalcitas: Efecto de la relación Mg/Ni,Revista Facultad de Ingeniería,,57,66-74,2013,
"Gil, Martín E; Ruiz, Wilson A; Mondragón, Fanor; de Recursos Energéticos, Química; Ambiente, Medio; ",CAMBIOS ESTRUCTURALES DURANTE LA PIRÓLISIS Y LA GASIFICACIÓN DEL CARBON DE VENECIA CON CO,,,,,,
"Montoya, A; Mondragon, F; Truong, TN; ",Molecular modeling of CO2 adsorption on carbonaceous surfaces.,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,221,,U505-U505,2001,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"Gallego, Jaime; Sierra-Gallego, German; Tapia, Juan; Mondragón, Fanor; Batiot-Dupeyrat, Catherine; ",Activation of CO2 on Ni/La2O3: non-isothermal kinetic study on the basis of thermogravimetric studies,"Reaction Kinetics, Mechanisms and Catalysis",,,1-15,,Springer
"Truong, Thanh; Mondragon, Fanor; ",Molecular Carbon Chemistry,,,,,2007,Taylor & Francis
"Truong, TN; Montoya, A; Mondragon, F; ",First-principles simulations of carbon gasification reactions.,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,225,,U632-U632,2003,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"Florez, Elizabeth; Truong, Thanh; Mondragón, Fanor; ",Interaction of CO,,,,,,
"Mondragon, F; ",Effect of mineral matter and oxidation on the evolution of low molecular weight compounds during pyrolysis,Fuel and Energy Abstracts,6,37,447,1996,
"Daza, Carlos Enrique; Mondragón, Fanor; Moreno, Sonia; Molina, Rafael; ",Reformado de metano con CO,,,,,,
"Lopez, Diana; Mondragon, Fanor; Buitrago, Robison; ",FUEL 152-Simultaneous catalytic adsorption of NO and SO2 on activated carbons at low temperatures,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,236,,,2008,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"DIANA, PEMBERTHY M; Santamaría, Alexander; Eddings, Eric G; Mondragón, Fanor; ",EFECTO DE LA ADICION DE ETANO E HIDROGENO EN LA QUIMICA DEL MATERIAL PRECURSOR DEL HOLLIN GENERADO EN LA LLAMA DE DIFUSION INVERSA DE ETILENO,Energética,,38,,2007,Universidad Nacional de Colombia
"Mondragon, Fanor; Fernandez, John; Jaramillo, Alfred; Quintero, Gustavo; ",Process for making activated charcoal,Journal of Cleaner Production,3,5,248,1997,
"Mejía, Sol M; Espinal, Juan F; Mills, Matthew JL; Mondragón, Fanor; ",The role of OH… O and CH… O hydrogen bonds and H… H interactions in ethanol/methanol–water heterohexamers,Journal of Molecular Modeling,22,8,1-10,2016,Springer
"Eddings, Eric G; Sánchez, Astrid E; Wang, Liyong; Mondragón, Fanor; ",Oxycoal Firing in Circulating Fluidized Bed Boilers,"2008 AIChE Annual Meeting, AIChE 100",,,,2008,
"Mondragón, Fanor; Gallego, Germán Sierra; Batiot-Dupeyrat, Catherine; Barrault, Joël; ",Producción de hidrógeno y nanotubos de carbono por descomposición de metano sobre Ni°/La2O3 obtenido a partir de la perovskita LaNiO3-δ,Revista Facultad de Ingeniería,,44,7-19,2014,
"Mondragon, F; Jaramillo, A; Quintero, G; ","Electric plants to gas, influence of both Mineral Matter and Air Oxidation in coal pyrolysis",Quimica Actualidad y Futuro,24,2,88-109,1995,
"MONDRAGON, F; ITOH, H; OUCHI, K; ",Liquefaction of coal with a metal-water system. Zinc-water system,Pan-Pacific synfuels conference,,,276-281,1982,
"GALLEGO, GERMÁN SIERRA; BATIOT-DUPEYRAT, CATHERINE; MONDRAGÓN, FANOR; ",METHANE PARTIAL OXIDATION BY THE LATTICE OXYGEN OF THE LANIO₃δ PEROVSKITE. A PULSE STUDY,DYNA,77,163,141-150,,
"Acelas, Nancy Y; Mejia, Sol M; Mondragón, Fanor; Flórez, Elizabeth; ",Computational and Theoretical Chemistry,,,,,2012,
"Jiménez, Francisco; Mondragón, Fanor; López, Diana; ",High-pressure thermogravimetric adsorption of CO2 for BET surface area calculations,Journal of Thermal Analysis and Calorimetry,120,3,1723-1730,2015,Springer
"López, Diana; Buitrago, Robison; Mondragón, Fanor; ",Adsorción catalitica simultanea de NO y SO2 sobre carbones activados,"Revista de la Academia Colombiana de ciencias exactas, físicas y naturales",32,122,67-78,2008,"Academia Colombiana de Ciencias Exactas, Físicas y Naturales"
"Abu-Awwad, FM; Al-Fahemi, JHA; Allan, NL; Azami, SM; Ben Lakhdar, Z; Brion, F; Bu, Y; Budzák, Š; Chakrabarty, K; Chamorro, E; ",journal homepage: www. elsevier. com/locate/theochem,Journal of Molecular Structure: THEOCHEM,901,,260-261,2009,
"Florez, Elizabeth; Truong, Thanh; Mondragón, Fanor; ",activation on an F center of the MgO surface,,,,,,
"IWATA, K; MONDRAGON, F; ITOH, H; OUCHI, K; ",Analyse structurale d'extraits par solvant obtenus en traitant des charbons dans un système eau-métalStructural analysis of solvent extracts obtained by treating coals in a water-metal system,,,,,,
"Orrego, Juan F; Truong, Thanh; Mondragón, Fanor; ",REACTIVIDAD DE COMPUESTOS AROMÁTICOS EN COMBUSTIÓN CON OXÍGENO ATÓMICO,Energética,,38,,2007,Universidad Nacional de Colombia
"Mejía, Sol M; Espinal, Juan F; Mondragón, Fanor; ",Cooperative effects in (ethanol) 3-water heterotetramers,Revista Colombiana de Química,38,1,151-167,2009,"Departamento de Química, Universidad Nacional de Colombia"
"Espinal, JF; Mondragon, F; Truong, TN; ",Mechanism of the reaction of water with carbonaceous materials and the H2 inhibition effect in the carbon gasification with steam,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,229,,U740-U740,2005,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"LÓPEZ, DIANA; HERNÁNDEZ, DIANA; JIMÉNEZ, FRANCISCO; MONDRAGÓN, FANOR; ",ALMACENAMIENTO DE HIDRÓGENO EN CARBONES ACTIVADOS POR OXIDACIÓN CON AIRE,Energética,,37,,2007,Universidad Nacional de Colombia
"Montoya, A; Mondragon, F; Sarofim, AF; Truong, TN; ",Modeling the desorption of NOx species in the combustion of coal.,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,222,,U460-U460,2001,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"Mondragon, F; ",Active carbon from coal by chemical treatment,Fuel and Energy Abstracts,5,37,345,1996,
"Mejia, Sol M; Espinal, Juan F; Mondragon, Fanor; ","Ethanol water azeotrope Study. Molecular characterization of ethanol dimers, hetero dimers and hetero trimers of ethanol water",Energetica (Medellin),36,,5-18,2006,
"Jiménez, Francisco; Mondragón, Fanor; López, Diana; ",Caracterización RAMAN de carbonizados de carbón obtenidos en un reactor de lecho fijo presurizado,Ingeniería y competitividad,14,2,111-118,2012,Universidad del Vall
"López, Diana; Buitrago, Robison; Mondragón, Fanor; ",ADSORCIÓN CATALÍTICA SIMULTÁNEA DE NO Y SO,,,,,,
"Sánchez, Astrid E; Mondragón, Fanor; Eddings, Eric G; ",CO 2 Interaction with Char Nitrogen in Oxy-Coal Combustion Systems,2007 AIChE Annual Meeting,,,,2007,
"Espinal, Juan F; Calderon, Lucas A; Mondragon, Fanor; ",DFT evaluation of sodium effects on the gasification mechanisms of carbonaceous materials with carbon dioxide,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,240,,,2010,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"GALLEGO, GERMÁN SIERRA; BATIOTDUPEYRAT, CATHERINE; MONDRAGÓN, FANOR; ",METHANE PARTIAL OXIDATION BY THE LATTICE OXYGEN OF THE LANIO3δ PEROVSKITE. A PULSE STUDY OXIDACIÓN PARCIAL DEL METANO USANDO EL OXÍGENO DE LA RED DE LA PEROVSKITALANIO3δ. ESTUDIO POR PULSOS,Dyna,77,163,141-150,2010,
"SANTAMARÍA, ALEXANDER; MONDRAGÓN, FANOR; FERNÁNDEZ, JHON; RUÍZ, WILSON; LÓPEZ, DIANA; ",Determinación de energías de desorción de so₂ en materiales carbonosos durante procesos no isotérmicos,"Dyna; Vol. 78, núm. 165 (2011); 169-175 DYNA; Vol. 78, núm. 165 (2011); 169-175 2346-2183 0012-7353",,,,,Universidad Nacional de Colombia Sede Medellín
"Sánchez, Astrid; Eddings, Eric; Mondragón, Fanor; ",Procesos para la captura de CO2. Emisión de óxidos de nitrógeno y de azufre durante la oxi-combustión de un carbonizado,"Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",36,138,115-123,2012,"Academia Colombiana de Ciencias Exactas, Físicas y Naturales"
"Truong, TN; Mondragon, F; Espinal, JF; ",Mechanism of methane formation for hydrogen storage in single wall carbon nanotubes,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,225,,U705-U705,2003,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"Eddings, Eric G; Sanchez, Astrid; Wang, Liyong; Wagner, David; Mondragon, Fanor; Sarofim, Adel F; ",Fundamental studies and pilot-scale evaluation of oxycoal firing in circulating fluidized bed boilers,,,,,,"University of Utah, Department of Chemical Engineering"
"Mondragon, Fanor; ",Coal liquefaction utilizing alkylation and in-situ generated hydrogen,,,,,1984,北海道大学
"Gallego, Jaime; Sierra, Germán; Daza, Carlos; Molina, Rafael; Barrault, Joël; Batiot-Dupeyrat, Catherine; Mondragon, Fanor; ",Reformado de metano en seco utilizando perovskitas La,,,,,,
"Sierra, G; Batiot-Dupeyrat, Catherine; Barrault, Joël; Florez, E; Mondragon, F; ","Dry reforming of methane over LaNi1-yByO3 (B= Mg, Co) perovskites used as catalyst precursor.",Appl. Catal. A: Gen,,,SOUS PRESSE,2007,
"Gallego, Germán Sierra; Mondragón, Fanor; Batiot-Dupeyrat, Catherine; Barrault, Joël; Tatibouët, Jean-Michel; ",reforming of methane over LaNiO,,,,,,
"Orrego, Juan F; Fernandez, Jhon J; Mondragon, Fanor; ","Monte Carlo's Method, like tool to evaluate porosity in activated coal","Revista de la Academia Colombiana de Ciencias Exactas, Fisicas y Naturales",28,108,371-384,2004,
"Gallego, Jaime; Sierra, Germán; Daza, Carlos; Molina, Rafael; Barrault, Joël; Batiot-Dupeyrat, Catherine; Mondragon, Fanor; ",Dry reforming of methane with La1-XAX NiO3 and LaNi1-XBX O3 (A: Ce or Pr and B: Co or Mg) perovskites as catalysts precursors,Revista Facultad de Ingeniería Universidad de Antioquia,,52,9-18,2010,Universidad de Antioquia
"MONDRAGON, F; ITOH, H; OUCHI, K; ","Coal liquefaction by the in-situ hydrogen generation, metal water system",International conference on coal science,,,18-21,1983,
"Montoya, Alejandro; Truong, Thanh-Thai T; Mondragon, Fanor; Truong, Thanh N; ","ARTICLES-MOLECULAR STRUCTURE, BONDING, QUANTUM CHEMISTRY, AND GENERAL THEORY-CO Desorption from Oxygen Species on Carbonaceous Surface: 1. Effects of the Local Structure of the Active Site and",Journal of Physical Chemistry A,105,27,6757-6764,2001,"Washington, DC: American Chemical Society, c1997-"
"Santamaria, Alexander; Mondragon, Fanor; Eddings, Eric G; ",FUEL 141-Chemical and morphological characterization of the soot produced in aromatic and aliphatic flames,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,236,,,2008,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"Mondragon, Fanor; Itoh, Hironori; Ouchi, Koji; ","No 089 COAL LIQUEFACTION BY THE IN-SITU HYDROGEN GENERATION, METAL HATER SYSTEM","Proceedings: 1983 International Conference on Coal Science, August 15-19, 1983, Pittsburgh, Pennsylvania",,,18,1983,Pittsburgh Energy Technology Center
"Jiménez, Francisco; Mondragón, Fanor; López, Diana; ",REACTIVIDAD DEL CARBÓN DE VENECIA EN LA COMBUSTIÓN A ALTA PRESIÓN,Energética,,38,,2007,
"SILVA LÓPEZ, WILBER; Mondragón, Fanor; ",Almacenamiento de h2 en complejos metálicos,Energética; núm. 38 (2007) Energética; núm. 38 (2007) 2357-612X 0120-9833,,,,,Universidad Nacional de Colombia Sede Manizales
"López, Diana; Hoyos, Jorge A; Mondragón, Fanor; ",Low temperature catalytic adsorption of NO over activated carbon honeycomb (ACH) monoliths,Revista Facultad de Ingeniería Universidad de Antioquia,,57,75-84,2011,Universidad de Antioquia
"Santamaria, Alexander; Mondragon, Fanor; Fernandez, Jhon; Ruiz, Wilson; Lopez, Diana; ",DETERMINATION OF SO2 DESORPTION ENERGIES ON CARBONACEOUS MATERIALS DURING NON-ISOTHERMAL PROCESSES,DYNA,78,165,169-175,2011,"2006, Revista DYNA"
"Espinal, Juan F; Truong, Thanh N; Mondragón, Fanor; ",Mechanisms of Carbon Gasification Reactions Using Electronic Structure Methods,"Spectroscopy, Dynamics And Molecular Theory Of Carbon Plasmas And Vapors: Advances in the Understanding of the Most Complex High-Temperature Elemental System",,,445-501,2011,
"Florez, Elizabeth; Mondragon, Fanor; Truong, Thanh N; Fuentealba, Patricio; ","Surface physics, nanoscale physics, low-dimensional systems-Transition-metal atom adsorption on an Fs defect site of MgO (100) and the interaction with a hydrogen atom",Physical Review-Section B-Condensed Matter,73,11,115423-115423,2006,"Woodbury, NY: published by the American Physical Society through the American Institute of Physics, c1998-"
"Sanchez, Astrid; Eddings, Eric; Mondragon, Fanor; ",NITROGEN OXIDES BEHAVIOR UNDER OXY-COMBUSTION CONDITIONS,,,,,,
"López, Diana; Hoyos, Jorge A; Mondragón, Fanor; ",Adsorción catalítica de NO a baja temperatura sobre monolitos de carbón activado,Revista Facultad de Ingeniería Universidad de Antioquia,,57,75-84,2011,
